date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:19	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/fontawesome-webfont.ttf?v=4.7.0	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/fontawesome-webfont3e6e.ttf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:19	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/fontawesome-webfont.svg?v=4.7.0	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/fontawesome-webfont3e6e.svg	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:21	613496/613496	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/about-us-bg.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/about-us-bg.jpg	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:22	167236/167236	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/our-numbers-bg.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/our-numbers-bg.jpg	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:22	1301982/1301982	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/appointments-2.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/appointments-2.jpg	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:23	4505/4505	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/qu.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/qu.png	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:24	12795/12795	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/css/jquery.fancybox.min.css	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/css/jquery.fancybox.min.css	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:24	513664/513664	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/emergency.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/emergency.jpg	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:25	1378105/1378105	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/our-clients-bg.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/our-clients-bg.jpg	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:26	1325864/1325864	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/banner/banner2-1.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/banner/banner2-1.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:27	58080/58080	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/png-shapes/ornament__right-top.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/png-shapes/ornament__right-top.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:27	62043/62043	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/png-shapes/ornament__left-bottom.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/png-shapes/ornament__left-bottom.png	(from https://ibnsino.getmytemplate.com/index2.html)
